aaa;bbb;ccc;ddd;eee;fff
69;35;18;18;18;35
61;33;18;19;18;33
71;29;20;19;19;29
60;28;7;8;7;27
73;22;13;12;12;22
65;30;20;21;20;30
57;29;18;18;16;29
77;30;16;17;16;30
44;22;4;5;4;23
65;15;2;2;2;15
63;27;17;18;18;27
58;33;20;21;20;33
45;31;21;21;20;30
58;11;5;5;5;11
73;32;18;17;18;31
65;39;20;21;20;38
65;28;17;18;17;28
70;29;15;15;14;29
60;16;2;2;2;16
67;34;25;26;24;34
60;30;10;11;10;30
71;37;22;23;22;37
46;29;11;13;11;29
63;27;17;17;17;27
69;25;13;14;14;25
66;25;9;9;9;26
59;8;2;2;2;10
63;17;4;5;4;16
66;34;21;22;20;34
64;27;8;9;8;27
61;32;16;17;16;33
64;32;19;20;20;33
77;29;15;16;15;28
53;31;20;20;20;32
73;35;23;24;22;34
63;33;15;17;16;33
67;33;15;17;15;33
48;26;3;4;4;26
67;28;15;16;16;27
73;27;14;15;15;28
64;14;6;7;6;12
56;35;20;22;20;34
67;33;24;25;24;34
60;20;5;6;5;22
65;38;23;24;23;38
77;32;24;24;24;33
71;40;23;25;24;39
67;24;11;11;11;24
67;30;20;21;20;31
51;38;25;26;25;38
59;13;6;6;6;13
70;26;16;16;16;26
71;26;14;14;13;26
66;38;29;31;29;37
69;29;12;12;11;28
59;15;0;1;1;15
69;35;17;17;16;37
48;31;19;19;18;31
61;36;18;18;18;36
71;26;12;13;11;27
63;31;15;16;15;31
63;32;17;18;17;33
65;22;11;11;10;24
56;32;16;18;16;32
68;22;10;9;10;21
56;24;2;2;1;24
66;18;1;0;1;18
67;26;15;16;16;25
71;30;15;16;15;31
64;29;21;21;20;29
66;35;18;19;18;37
70;34;23;23;22;34
66;30;17;17;17;30
76;31;17;17;16;31
69;14;0;0;1;14
48;31;19;19;18;31
65;25;8;9;8;25
69;28;12;13;11;28
56;8;1;0;0;8
69;35;20;21;19;36
52;35;23;25;23;37
54;37;23;25;23;36
67;26;15;15;14;26
61;11;2;2;2;12
63;29;21;21;20;30
73;33;17;18;17;35
68;28;18;17;16;28
64;25;11;11;10;25
58;40;26;27;25;39
64;31;23;24;23;31
64;32;19;20;20;33
83;31;25;25;25;31
64;26;14;13;13;25
78;33;20;19;19;32
65;30;16;17;17;30
70;32;12;13;11;33
68;30;14;15;14;30
73;31;15;17;15;31
74;29;14;14;14;28
73;30;19;19;19;30
74;31;22;23;22;31
65;26;14;15;14;29
67;32;16;16;15;31
45;24;8;9;9;24
49;20;5;5;5;22
50;31;16;16;16;32
72;32;18;18;17;31
73;32;25;25;25;33
50;24;4;5;4;24
59;27;15;15;15;26
66;30;17;17;17;30
73;39;25;27;25;39
66;25;9;10;9;25
76;29;18;17;17;29
70;25;10;11;10;25
73;32;25;25;25;33
69;29;14;14;14;30
71;19;2;1;1;18
67;33;18;19;17;33
60;14;6;5;5;15
51;30;13;13;12;31
62;18;0;1;0;17
63;36;25;26;25;35
78;38;31;32;31;38
75;32;19;19;19;32
73;35;24;25;24;36
66;30;17;17;17;30
72;26;15;15;15;27
56;32;15;17;16;33
68;28;13;14;14;28
70;35;19;20;19;35
61;29;13;14;13;29
65;24;11;12;11;24
67;30;17;17;15;31
60;34;20;22;20;34
54;29;12;13;13;29
59;27;10;11;10;27
64;26;7;8;8;27
65;31;16;18;16;31
77;32;22;23;22;32
58;30;13;13;12;31
54;22;4;5;4;23
65;33;23;24;22;33
54;31;12;12;11;31
59;21;1;1;1;21
57;26;7;7;7;26
69;32;17;18;17;32
73;33;14;15;14;34
71;32;22;24;22;31
68;30;12;13;12;30
60;27;3;3;3;26
61;30;16;18;16;32
54;24;2;2;2;24
78;31;16;16;15;30
50;20;2;3;3;20
71;32;22;24;22;31
65;21;2;1;1;22
62;35;7;8;7;35
80;35;27;28;27;35
50;25;11;13;12;26
51;23;4;5;5;23
60;27;3;3;3;26
51;17;1;1;1;18
53;29;8;9;8;29
52;24;3;4;5;25
52;28;4;5;4;28
74;31;20;20;19;30
54;22;2;2;2;21
41;33;14;15;14;35
61;31;17;18;17;32
68;30;12;13;12;30
80;34;28;29;28;34
68;29;20;21;20;32
72;29;9;10;9;30
58;11;1;1;1;12
60;28;7;8;7;28
39;32;19;21;19;35
52;28;4;5;4;28
54;32;16;16;15;32
31;19;3;3;3;19
58;26;3;3;3;25
52;31;7;8;7;30
57;26;7;7;7;26
57;19;1;0;1;18
72;30;20;21;20;30
54;31;12;12;11;31
58;27;8;9;8;27
68;28;16;18;17;27
80;33;24;25;24;33
54;42;25;27;25;43
68;28;16;18;17;27
47;23;2;3;3;22
60;20;1;1;2;21
53;23;1;0;0;24
43;29;15;16;15;30
54;31;9;10;9;30
55;36;18;19;18;36
69;32;17;18;17;32
57;25;10;11;11;25
64;26;6;7;6;25
72;29;9;10;9;30
43;31;5;6;5;31
56;20;1;0;1;22
60;30;16;17;16;30
58;25;12;13;11;25
84;30;22;23;22;29
49;20;1;2;1;21
58;27;5;6;5;27
54;30;12;13;12;29
39;23;1;2;2;23
80;36;29;30;28;36
